22.055	37.748	41.616
22.723	37.906	41.596
22.857	37.84	41.467
23.124	37.387	41.51
23.392	37.528	41.837
23.525	37.557	41.701
23.659	38.184	41.696
23.793	38.478	41.725
23.926	38.377	42.028
24.194	38.502	42.036
24.327	38.219	41.94
24.461	38.157	42.14
24.595	38.432	42.294
24.728	38.677	42.202
25.129	38.806	42.043
25.263	38.732	42.291
25.397	38.804	42.582
25.53	38.566	43.047
25.798	38.377	42.994
26.065	38.293	43.032
26.199	38.307	43.054
26.332	38.367	43.165
26.6	38.543	42.991
26.733	38.421	43.185
26.867	38.369	43.037
27.001	38.318	43.132
27.268	38.4	42.795
27.402	38.475	43.136
27.535	38.489	43.098
27.669	38.474	43.097
27.803	38.4	42.957
27.936	38.378	42.928
28.07	38.204	42.848
28.204	38.342	43.015
28.337	38.356	43.048
28.471	38.307	43.028
28.605	38.379	43.123
28.738	38.284	43.027
29.006	38.372	43.12
29.139	38.438	43.201
29.273	38.448	43.131
29.407	38.574	42.809
29.54	38.357	42.889
29.674	38.419	43.247
29.808	38.351	42.99
30.075	38.324	42.847
30.209	38.623	42.738
30.342	38.768	42.979
30.476	38.796	42.663
30.61	38.862	42.361
30.743	38.516	42.241
30.877	38.559	42.303
31.011	38.639	42.451
31.144	38.492	42.201
31.278	38.511	42.028
31.412	38.23	41.712
31.545	38.194	41.789
31.679	37.961	41.713
31.813	38.025	41.674
31.946	38.355	41.645
32.08	38.249	41.718
32.214	37.929	41.618
32.347	37.691	41.462
32.481	37.887	42.088
32.615	38.147	41.851
32.748	38.459	41.83
32.882	38.557	41.817
33.016	38.144	41.914
33.149	38.013	42.019
33.283	37.865	41.874
33.417	38.014	41.775
33.55	38.111	41.536
33.684	37.945	41.66
33.951	38.241	42.024
34.085	38.495	42.096
34.219	38.92	42.325
34.62	39.464	42.55
34.753	39.069	42.341
34.887	39.065	42.505
35.021	39.269	42.43
35.422	39.098	42.87
35.555	38.953	42.931
35.689	38.796	43.148
35.823	38.712	43.174
35.956	38.765	43.214
36.09	38.678	43.145
36.224	38.585	43.054
36.357	38.616	43.101
36.491	38.606	43.091
38.095	39.544	42.461
